Opinion Media,opinion-media,"NP-Media conçoit, développe et commercialise des services innovants de monétisation. Son activité consiste à maximiser les revenus de ses clients en optimisant la performance marketing de leurs annonceurs publicitaires et de leurs partenaires commerciaux.","Direction artistique  /  UI  /  UX
Réalisation : Agence Kernix
Voir le site http://www.opinion-media.com"
Revekko,revekko,Revekko est un constructeur de maisons en bois haut de gamme. Il est un acteur de référence sur le marché français de la maison passive.,"Direction artistique  /  UI  /  UX
Réalisation : Agence Kernix
Voir le site http://www.revekko.com"
Da ! heard it records,da-heard-it-records,The aim of this eclectic record company is to promote new artists and new types if music.,"Direction artistique  /  UI  /  UX
Réalisation : Constructions Incongrues
Voir le site http://www.daheardit-records.net"
GE,,"gelocalisation.gecapital.fr est un moteur de recherche permettant au personnel 
de la société GE Capital Fleet Services de trouver rapidement des fournisseurs automobiles aux alentours pour effectuer des prestations.","Direction artistique  /  UI  /  UX
Réalisation : Agence Kernix
Voir le site : http://www.gelocalisation.gecapital.fr/
Voir le site : Appstore (https://itunes.apple.com/us/app/journal-de-lautomobile/id420654624?mt=8&ls=1)"
Journal Auto,journal-auto,Le Journal de l'Automobile est un magazine hebdomadaire créé en 1979 destiné à tous les professionnels de l'auto souhaitant être informés. C'est le premier support auprès des cadres dirigeants et décideurs du monde de l’automobile. Il est régulièrement lu par plus de 40 000 lecteurs.,"Direction artistique  /  UI  /  UX
Réalisation : Agence Kernix
Voir le site http://www.journalauto.com/"
